Arabic,Urdu,English
اُولٰٓٮِٕكَ مَاۡوٰٮهُمُ النَّارُ بِمَا كَانُوۡا يَكۡسِبُوۡنَ,اُن کا آخری ٹھکانہ جہنم ہو گا اُن برائیوں کی پاداش میں جن کا اکتساب وہ (اپنے اس غلط عقیدے اور غلط طرز عمل کی وجہ سے) کرتے رہے,shall have their abode in the Fire in requital for their deeds.
اِنَّ الَّذِيۡنَ اٰمَنُوۡا وَ عَمِلُوا الصّٰلِحٰتِ يَهۡدِيۡهِمۡ رَبُّهُمۡ بِاِيۡمَانِهِمۡ​ۚ تَجۡرِىۡ مِنۡ تَحۡتِهِمُ الۡاَنۡهٰرُ فِىۡ جَنّٰتِ النَّعِيۡمِ ﻿﻿,اور یہ بھی حقیقت ہے کہ جو لوگ ایمان لائے (یعنی جنہوں نے اُن صداقتوں کو قبول کر لیا جو اس کتاب میں پیش کی گئی ہیں) اور نیک اعمال کرتے رہے انہیں اُن کا رب اُن کے ایمان کی وجہ سے سیدھی راہ چلائے گا، نعمت بھری جنتوں میں ان کے نیچے نہریں بہیں گی,Those who believe and do good deeds will be guided by their Lord because of their faith. Rivers shall flow at their feet in the Gardens of Bliss.
دَعۡوٰٮهُمۡ فِيۡهَا سُبۡحٰنَكَ اللّٰهُمَّ وَ تَحِيَّـتُهُمۡ فِيۡهَا سَلٰمٌ​ۚ وَاٰخِرُ دَعۡوٰٮهُمۡ اَنِ الۡحَمۡدُ لِلّٰهِ رَبِّ الۡعٰلَمِيۡنَ,"وہاں ان کی صدا یہ ہوگی کہ “پاک ہے تو اے خدا، "" اُن کی دعا یہ ہوگی کہ “سلامتی ہو "" اور ان کی ہر بات کا خاتمہ اس پر ہوگا کہ “ساری تعریف اللہ رب العالمین ہی کے لیے ہے ""","In that \[state of happiness\] they will call out; ""Glory be to You, O God!"", while their greeting in it will be: ""Peace!"" And the close of their call will be, ""All praise is due to God, the Lord of the Universe!"""
وَلَوۡ يُعَجِّلُ اللّٰهُ لِلنَّاسِ الشَّرَّ اسۡتِعۡجَالَهُمۡ بِالۡخَيۡرِ لَـقُضِىَ اِلَيۡهِمۡ اَجَلُهُمۡ​ؕ فَنَذَرُ الَّذِيۡنَ لَا يَرۡجُوۡنَ لِقَآءَنَا فِىۡ طُغۡيَانِهِمۡ يَعۡمَهُوۡنَ,اگر کہیں اللہ لوگوں کے ساتھ برا معاملہ کرنے میں بھی اتنی ہی جلدی کرتا جتنی وہ دنیا کی بھلائی مانگنے میں جلدی کرتے ہیں تو ان کی مہلت عمل کبھی کی ختم کر دی گئی ہوتی (مگر ہمارا یہ طریقہ نہیں ہے) اس لیے ہم اُن لوگوں کو جو ہم سے ملنے کی توقع نہیں رکھتے اُن کی سرکشی میں بھٹکنے کے لیے چھُوٹ دے دیتے ہیں,"Had God hastened the punishment of men as He hastens the good, the end of their term of life would already have been reached. We leave those who do not hope to meet Us groping along in their arrogance."
وَاِذَا مَسَّ الۡاِنۡسَانَ الضُّرُّ دَعَانَا لِجَنۡۢبِهٖۤ اَوۡ قَاعِدًا اَوۡ قَآٮِٕمًا ۚ فَلَمَّا كَشَفۡنَا عَنۡهُ ضُرَّهٗ مَرَّ كَاَنۡ لَّمۡ يَدۡعُنَاۤ اِلٰى ضُرٍّ مَّسَّهٗ​ؕ كَذٰلِكَ زُيِّنَ لِلۡمُسۡرِفِيۡنَ مَا كَانُوۡا يَعۡمَلُوۡنَ,انسان کا حال یہ ہے کہ جب اس پر کوئی سخت وقت آتا ہے تو کھڑے اور بیٹھے اور لیٹے ہم کو پکارتا ہے، مگر جب ہم اس کی مصیبت ٹال دیتے ہیں تو ایسا چل نکلتا ہے کہ گویا اس نے کبھی اپنے کسی بُرے وقت پر ہم کو پکارا ہی نہ تھا اس طرح حد سے گزر جانے والوں کے لیے ان کے کرتوت خوشنما بنا دیے گئے ہیں,"Whenever any trouble befalls a person, he prays to Us all the time, lying on his side, sitting or standing; but when We remove his trouble, he goes on his way as if he had never prayed to Us for the removal of his trouble. Thus it is that the doings of the transgressors are made to look fair to them."
وَلَقَدۡ اَهۡلَـكۡنَا الۡـقُرُوۡنَ مِنۡ قَبۡلِكُمۡ لَمَّا ظَلَمُوۡا ​ ۙ وَجَآءَتۡهُمۡ رُسُلُهُمۡ بِالۡبَيِّنٰتِ وَمَا كَانُوۡا لِيُـؤۡمِنُوۡا ​ ؕ كَذٰلِكَ نَجۡزِى الۡقَوۡمَ الۡمُجۡرِمِيۡنَ,لوگو، تم سے پہلے کی قوموں کو (جو اپنے اپنے زمانہ میں برسر عروج تھیں) ہم نے ہلاک کر دیا جب انہوں نے ظلم کی روش اختیار کی اور اُن کے رسُول اُن کے پاس کھُلی کھُلی نشانیاں لے کر آئے اور انہوں نے ایمان لا کر ہی نہ دیا اس طرح ہم مجرموں کو ان کے جرائم کا بدلہ دیا کرتے ہیں,"And indeed, before your time We destroyed \[whole\] generations when they \[persistently\] did evil; their messengers came to them with clear signs, but they would not believe. Thus We requite the guilty."
ثُمَّ جَعَلۡنٰكُمۡ خَلٰٓٮِٕفَ فِى الۡاَرۡضِ مِنۡۢ بَعۡدِهِمۡ لِنَـنۡظُرَ كَيۡفَ تَعۡمَلُوۡنَ,اب ان کے بعد ہم نے تم کو زمین میں ان کی جگہ دی ہے تاکہ دیکھیں تم کیسے عمل کرتے ہو,"Then We made you their successors in the land, so that We might observe how you would conduct yourselves."
وَاِذَا تُتۡلٰى عَلَيۡهِمۡ اٰيَاتُنَا بَيِّنٰتٍ​ ۙ قَالَ الَّذِيۡنَ لَا يَرۡجُوۡنَ لِقَآءَنَا ائۡتِ بِقُرۡاٰنٍ غَيۡرِ هٰذَاۤ اَوۡ بَدِّلۡهُ​ ؕ قُلۡ مَا يَكُوۡنُ لِىۡۤ اَنۡ اُبَدِّلَهٗ مِنۡ تِلۡقَآئِ نَـفۡسِىۡ ۚ اِنۡ اَتَّبِعُ اِلَّا مَا يُوۡحٰۤى اِلَىَّ​ ۚ اِنِّىۡۤ اَخَافُ اِنۡ عَصَيۡتُ رَبِّىۡ عَذَابَ يَوۡمٍ عَظِيۡمٍ,"جب انہیں ہماری صاف صاف باتیں سُنائی جاتی ہیں تو وہ لوگ جو ہم سے ملنے کی توقع نہیں رکھتے، کہتے ہیں کہ “اِس کے بجائے کوئی اور قرآن لاؤ یا اس میں کچھ ترمیم کرو "" اے محمدؐ، ان سے کہو “میرا یہ کام نہیں ہے کہ اپنی طرف سے اس میں کوئی تغیر و تبّدل کر لوں میں تو بس اُس وحی کا پیرو ہوں جو میرے پاس بھیجی جاتی ہے اگر میں اپنے رب کی نافرمانی کروں تو مجھے ایک بڑے ہولناک دن کے عذاب کا ڈر ہے""","When Our clear revelations are recited to them, those who do not expect to meet Us say, ""Bring us a different Quran, or make some changes in it."" Say, ""It is not for me to change it of my own accord. I follow only what is revealed to me. I fear, if I were to disobey my Lord, the punishment on a Dreadful Day."""
قُلْ لَّوۡ شَآءَ اللّٰهُ مَا تَلَوۡتُهٗ عَلَيۡكُمۡ وَلَاۤ اَدۡرٰٮكُمۡ بِهٖ ​ۖ  فَقَدۡ لَبِثۡتُ فِيۡكُمۡ عُمُرًا مِّنۡ قَبۡلِهٖ ؕ اَفَلَا تَعۡقِلُوۡنَ,اور کہو “اگر اللہ کی مشیّت نہ ہوتی تو میں یہ قرآن تمہیں کبھی نہ سناتا اور اللہ تمہیں اس کی خبر تک نہ دیتا آخر اس سے پہلے میں ایک عمر تمہارے درمیان گزار چکا ہوں، کیا تم عقل سے کام نہیں لیتے؟,"Say, ""If God had so wished, I would not have recited it to you, nor would He have brought it to your knowledge. Indeed, I have spent a whole lifetime among you before it came to me. How can you not use your reason?"""
فَمَنۡ اَظۡلَمُ مِمَّنِ افۡتَـرٰى عَلَى اللّٰهِ كَذِبًا اَوۡ كَذَّبَ بِاٰيٰتِهٖ ؕ اِنَّهٗ لَا يُفۡلِحُ الۡمُجۡرِمُوۡنَ,"پھر اُس سے بڑھ کر ظالم اور کون ہو گا جو ایک جھوٹی بات گھڑ کر اللہ کی طرف منسُوب کرے یا اللہ کی واقعی آیات کو جھُوٹا قرار دے یقیناً مجرم کبھی فلاح نہیں پا سکتے ""","Who is more unjust than the man who invents a falsehood about God or denies His signs? Surely, the guilty shall never prosper."
وَيَعۡبُدُوۡنَ مِنۡ دُوۡنِ اللّٰهِ مَا لَا يَضُرُّهُمۡ وَلَا يَنۡفَعُهُمۡ وَيَقُوۡلُوۡنَ هٰٓؤُلَاۤءِ شُفَعَآؤُنَا عِنۡدَ اللّٰهِ​ؕ قُلۡ اَتُـنَـبِّـــُٔوۡنَ اللّٰهَ بِمَا لَا يَعۡلَمُ فِى السَّمٰوٰتِ وَلَا فِى الۡاَرۡضِ​ؕ سُبۡحٰنَهٗ وَتَعٰلٰى عَمَّا يُشۡرِكُوۡنَ,"یہ لوگ اللہ کے سوا اُن کی پرستش کر رہے ہیں جو ان کو نہ نقصان پہنچا سکتے ہیں نہ نفع، اور کہتے یہ ہیں کہ یہ اللہ کے ہاں ہمارے سفارشی ہیں اے محمدؐ، ان سے کہو “کیا تم اللہ کو اُس بات کی خبر دیتے ہو جسے وہ نہ آسمانوں میں جانتا ہے نہ زمین میں؟"" پاک ہے وہ اور بالا و برتر ہے اُس شرک سے جو یہ لوگ کرتے ہیں","Instead of God they worship what neither harms nor benefits them, and they say: ""These are our intercessors with God."" Say, ""Do you inform God about something in heavens and on earth that He does not know? Glory be to Him; may He be Exalted over whatever they associate \[with Him\]!"""
وَمَا كَانَ النَّاسُ اِلَّاۤ اُمَّةً وَّاحِدَةً فَاخۡتَلَفُوۡا​ ؕ وَلَوۡلَا كَلِمَةٌ سَبَقَتۡ مِنۡ رَّبِّكَ لَـقُضِىَ بَيۡنَهُمۡ فِيۡمَا فِيۡهِ يَخۡتَلِفُوۡنَ ﻿﻿,ابتداءً سارے انسان ایک ہی امّت تھے، بعد میں انہوں نے مختلف عقیدے اور مسلک بنا لیے، اور اگر تیرے رب کی طرف سے پہلے ہی ایک بات طے نہ کر لی گئی ہوتی تو جس چیز میں وہ باہم اختلاف کر رہے ہیں اس کا فیصلہ کر دیا جاتا,"Mankind was only one community, but then they differed, and had it not been for a prior word from your Lord, their differences would have been settled for them."
​وَيَقُوۡلُوۡنَ لَوۡلَاۤ اُنۡزِلَ عَلَيۡهِ اٰيَةٌ مِّنۡ رَّبِّهٖ​ ۚ فَقُلۡ اِنَّمَا الۡغَيۡبُ لِلّٰهِ فَانْتَظِرُوۡا​ ۚ اِنِّىۡ مَعَكُمۡ مِّنَ الۡمُنۡتَظِرِيۡنَ ﻿﻿,"اور یہ جو وہ کہتے ہیں کہ اِس نبیؐ پر اس کے رب کی طرف سے کوئی نشانی کیوں نہ اتاری گئی، تو ان سے کہو “غیب کا مالک و مختار تو اللہ ہی ہے، اچھا، انتظار کرو، میں بھی تمہارے ساتھ انتظار کرتا ہوں ""","They ask, ""Why has no sign been sent down to him from his Lord?"" Tell them, ""God alone has knowledge of the unseen. So wait; I too will wait with you."""
وَاِذَاۤ اَذَقۡنَا النَّاسَ رَحۡمَةً مِّنۡۢ بَعۡدِ ضَرَّآءَ مَسَّتۡهُمۡ اِذَا لَهُمۡ مَّكۡرٌ فِىۡۤ اٰيَاتِنَا​ ؕ قُلِ اللّٰهُ اَسۡرَعُ مَكۡرًا​ ؕ اِنَّ رُسُلَنَا يَكۡتُبُوۡنَ مَا تَمۡكُرُوۡنَ,"لوگوں کا حال یہ ہے کہ مصیبت کے بعد جب ہم ان کو رحمت کا مزا چکھاتے ہیں تو فوراً ہی وہ ہماری نشانیوں کے معاملہ میں چال بازیاں شروع کر دیتے ہیں ان سے کہو “اللہ اپنی چال میں تم سے زیادہ تیز ہے، اس کے فرشتے تمہاری سب مکّاریوں کو قلم بند کر رہے ہیں ""","Whenever We let mankind taste mercy after some adversity has afflicted them, they forthwith turn to devising false arguments against Our signs. Say, ""God is swifter in His devising! Our angels are recording your intrigues."""
هُوَ الَّذِىۡ يُسَيِّرُكُمۡ فِى الۡبَرِّ وَالۡبَحۡرِ​ؕ حَتّٰۤى اِذَا كُنۡتُمۡ فِى الۡفُلۡكِ ۚ وَ جَرَيۡنَ بِهِمۡ بِرِيۡحٍ طَيِّبَةٍ وَّفَرِحُوۡا بِهَا جَآءَتۡهَا رِيۡحٌ عَاصِفٌ وَّجَآءَهُمُ الۡمَوۡجُ مِنۡ كُلِّ مَكَانٍ وَّظَنُّوۡۤا اَنَّهُمۡ اُحِيۡطَ بِهِمۡ​ ۙ دَعَوُا اللّٰهَ مُخۡلِصِيۡنَ لَـهُ الدِّيۡنَۙ لَٮِٕنۡ اَنۡجَيۡتَـنَا مِنۡ هٰذِهٖ لَنَكُوۡنَنَّ مِنَ الشّٰكِرِيۡنَ,"وہ اللہ ہی ہے جو تم کو خشکی اور تری میں چلاتا ہے چنانچہ جب تم کشتیوں میں سوار ہو کر بادِ موافق پر فرحاں و شاداں سفر کر رہے ہوتے ہو اور پھر یکایک بادِ مخالف کا زور ہوتا ہے اور ہر طرف سے موجوں کے تھپیڑے لگتے ہیں اور مسافر سمجھ لیتے ہیں کہ طوفان میں گھر گئے، اُس وقت سب اپنے دین کو اللہ ہی کے لیے خالص کر کے اس سے دُعائیں مانگتے ہیں کہ “اگر تو نے ہم کو اس بلا سے نجات دے دی تو ہم شکر گزار بندے بنیں گے""","It is God who enables you to travel on land and sea. And when you are sailing on ships and rejoicing in the favourable wind, a storm arrives, and the waves surge upon those on board from every side and they think they are encompassed, then they make a fervent appeal to God, saying in all sincerity, ""If You deliver us from this, we will surely be of the thankful."""
فَلَمَّاۤ اَنۡجٰٮهُمۡ اِذَا هُمۡ يَبۡغُوۡنَ فِى الۡاَرۡضِ بِغَيۡرِ الۡحَـقِّ​ ؕ يٰۤـاَ يُّهَا النَّاسُ اِنَّمَا بَغۡيُكُمۡ عَلٰٓى اَنۡفُسِكُمۡ​ۙ مَّتَاعَ الۡحَيٰوةِ الدُّنۡيَا​ ثُمَّ اِلَـيۡنَا مَرۡجِعُكُمۡ فَنُنَبِّئُكُمۡ بِمَا كُنۡتُمۡ تَعۡمَلُوۡنَ ﻿﻿,مگر جب وہ ان کو بچا لیتا ہے تو پھر وہی لوگ حق سے منحرف ہو کر زمین میں بغاوت کرنے لگتے ہیں لوگو، تمہاری یہ بغاوت اُلٹی تمہارے ہی خلاف پڑ رہی ہے دنیا کے چند روزہ مزے ہیں (لُوٹ لو)، پھر ہماری طرف تمہیں پلٹ کر آنا ہے، اُس وقت ہم تمہیں بتا دیں گے کہ تم کیا کچھ کرتے رہے ہو,"But when He has delivered them, they begin, wrongfully to commit excesses in the land. O you men, your excesses only affect your own selves. Have the enjoyment of the present life. Then to Us you shall return; and We will inform you of all that you have done."
اِنَّمَا مَثَلُ الۡحَيٰوةِ الدُّنۡيَا كَمَآءٍ اَنۡزَلۡنٰهُ مِنَ السَّمَآءِ فَاخۡتَلَطَ بِهٖ نَبَاتُ الۡاَرۡضِ مِمَّا يَاۡكُلُ النَّاسُ وَالۡاَنۡعَامُؕ حَتّٰۤى اِذَاۤ اَخَذَتِ الۡاَرۡضُ زُخۡرُفَهَا وَازَّيَّنَتۡ وَظَنَّ اَهۡلُهَاۤ اَنَّهُمۡ قٰدِرُوۡنَ عَلَيۡهَاۤ ۙ اَتٰٮهَاۤ اَمۡرُنَا لَيۡلًا اَوۡ نَهَارًا فَجَعَلۡنٰهَا حَصِيۡدًا كَاَنۡ لَّمۡ تَغۡنَ بِالۡاَمۡسِ​ ؕ كَذٰلِكَ نُـفَصِّلُ الۡاٰيٰتِ لِقَوۡمٍ يَّتَفَكَّرُوۡنَ,دنیا کی یہ زندگی (جس کے نشے میں مست ہو کر تم ہماری نشانیوں سے غفلت برت رہے ہو) اس کی مثال ایسی ہے جیسے آسمان سے ہم نے پانی برسایا تو زمین کی پیداوار، جسے آدمی اور جانور سب کھاتے ہیں، خوب گھنی ہو گئی، پھر عین اُس وقت جبکہ زمین اپنی بہار پر تھی اور کھیتیاں بنی سنوری کھڑی تھیں اور ان کے مالک یہ سمجھ رہے تھے کہ اب ہم ان سے فائدہ اُٹھانے پر قادر ہیں، یکایک رات کو یا دن کو ہمارا حکم آ گیا اور ہم نے اسے ایسا غارت کر کے رکھ دیا کہ گویا کل وہاں کچھ تھا ہی نہیں اس طرح ہم نشانیاں کھول کھول کر پیش کرتے ہیں اُن لوگوں کے لیے جو سوچنے سمجھنے والے ہیں,"The life of the world is like the water which We send down from the sky, and which is absorbed by the plants of the earth, from which men and cattle eat. But when the earth has taken on its finest appearance, and looks beautiful, and its people think they have it under their control, then by day or by night, Our command comes to it and We convert it into a field of stubble, as if nothing had existed there the day before. Thus We make plain Our revelations for those who reflect."
وَاللّٰهُ يَدۡعُوۡۤا اِلٰى دَارِ السَّلٰمِؕ وَيَهۡدِىۡ مَنۡ يَّشَآءُ اِلٰى صِرَاطٍ مُّسۡتَقِيۡمٍ,(تم اِس نا پائیدار زندگی کے فریب میں مبتلا ہو رہے ہو) اور اللہ تمہیں دار السلام کی طرف دعوت دے رہا ہے (ہدایت اُس کے اختیار میں ہے) جس کو وہ چاہتا ہے سیدھا راستہ دکھا دیتا ہے,God calls man to the home of peace and He guides whom He wills to a straight path.
لِلَّذِيۡنَ اَحۡسَنُوا الۡحُسۡنٰى وَزِيَادَةٌ ؕ وَلَا يَرۡهَقُ وُجُوۡهَهُمۡ قَتَرٌ وَّلَا ذِلَّـةٌ ​ ؕ اُولٰٓٮِٕكَ اَصۡحٰبُ الۡجَـنَّةِ​ ۚ هُمۡ فِيۡهَا خٰلِدُوۡنَ ﻿﻿,جن لوگوں نے بھَلائی کا طریقہ اختیار کیا ان کے لیے بھَلائی ہے اور مزید فضل ان کے چہروں پر رُو سیاہی اور ذلّت نہ چھائے گی وہ جنت کے مستحق ہیں جہاں وہ ہمیشہ رہیں گے,Those who do good works shall have a good reward and more besides. No darkness and no ignominy shall cover their faces. They are destined for Paradise wherein they shall dwell forever.
وَالَّذِيۡنَ كَسَبُوا السَّيِّاٰتِ جَزَآءُ سَيِّئَةٍ ۢ بِمِثۡلِهَا ۙ وَتَرۡهَقُهُمۡ ذِلَّـةٌ ؕ مَا لَهُمۡ مِّنَ اللّٰهِ مِنۡ عَاصِمٍ​​ ۚ كَاَنَّمَاۤ اُغۡشِيَتۡ وُجُوۡهُهُمۡ قِطَعًا مِّنَ الَّيۡلِ مُظۡلِمًا ​ؕ اُولٰٓٮِٕكَ اَصۡحٰبُ النَّارِ​ ؕ هُمۡ فِيۡهَا خٰلِدُوۡنَ,اور جن لوگوں نے بُرائیاں کمائیں ان کی بُرائی جیسی ہے ویسا ہی وہ بدلہ پائیں گے، ذلّت ان پر مسلّط ہو گی، کوئی اللہ سے ان کو بچانے والا نہ ہو گا، ان کے چہروں پر ایسی تاریکی چھائی ہوئی ہو گی جیسے رات کے سیاہ پردے ان پر پڑے ہوئے ہوں، وہ دوزخ کے مستحق ہیں جہاں وہ ہمیشہ رہیں گے,"But as for those who have done evil deeds, the recompense shall be in proportion. They will have none to defend them against God. Ignominy shall cover them, as though their faces were veiled by the night's own darkness. It is they who are destined for the fire, where they will live forever."
وَيَوۡمَ نَحۡشُرُهُمۡ جَمِيۡعًا ثُمَّ نَقُوۡلُ لِلَّذِيۡنَ اَشۡرَكُوۡا مَكَانَكُمۡ اَنۡتُمۡ وَشُرَكَآؤُكُمۡ​ۚ فَزَيَّلۡنَا بَيۡنَهُمۡ​ وَقَالَ شُرَكَآؤُهُمۡ مَّا كُنۡتُمۡ اِيَّانَا تَعۡبُدُوۡنَ,جس روز ہم ان سب کو ایک ساتھ (اپنی عدالت میں) اکٹھا کریں گے، پھر ان لوگوں سے جنہوں نے شرک کیا ہے کہیں گے کہ ٹھیر جاؤ تم بھی اور تمہارے بنائے ہوئے شریک بھی، پھر ہم ان کے درمیان سے اجنبیّت کا پردہ ہٹا دیں گے اور ان کے شریک کہیں گے کہ “تم ہماری عبادت تو نہیں کرتے تھے,"On the Day when We gather them all together, We shall say to those who ascribed partners to God, ""Keep to your places, you and your partners!"" Then We shall separate them from one another and their partner-gods will say, ""It was not us that you worshipped."
فَكَفٰى بِاللّٰهِ شَهِيۡدًۢا بَيۡنَـنَا وَبَيۡنَكُمۡ اِنۡ كُنَّا عَنۡ عِبَادَتِكُمۡ لَغٰفِلِيۡنَ,"ہمارے اور تمہارے درمیان اللہ کی گواہی کافی ہے کہ (تم اگر ہماری عبادت کرتے بھی تھے تو) ہم تمہاری اس عبادت سے بالکل بے خبر تھے ""","God suffices as a witness between us and you. We were entirely unaware that you worshipped us."""
هُنَالِكَ تَبۡلُوۡا كُلُّ نَفۡسٍ مَّاۤ اَسۡلَفَتۡ​ وَرُدُّوۡۤا اِلَى اللّٰهِ مَوۡلٰٮهُمُ الۡحَـقِّ​ وَضَلَّ عَنۡهُمۡ مَّا كَانُوۡا يَفۡتَرُوۡنَ,اُس وقت ہر شخص اپنے کیے کا مزا چکھ لے گا، سب اپنے مالک حقیقی کی طرف پھیر دیے جائیں گے اور وہ سارے جھوٹ جو انہوں نے گھڑ رکھے تھے گم ہو جائیں گے,"Then every soul shall realize what it has done. They shall be returned to God, their true Master, and anything they had invented will forsake them."
قُلۡ مَنۡ يَّرۡزُقُكُمۡ مِّنَ السَّمَآءِ وَالۡاَرۡضِ اَمَّنۡ يَّمۡلِكُ السَّمۡعَ وَالۡاَبۡصَارَ وَ مَنۡ يُّخۡرِجُ الۡحَـىَّ مِنَ الۡمَيِّتِ وَيُخۡرِجُ الۡمَيِّتَ مِنَ الۡحَـىِّ وَمَنۡ يُّدَبِّرُ الۡاَمۡرَ​ؕ فَسَيَـقُوۡلُوۡنَ اللّٰهُ​ۚ فَقُلۡ اَفَلَا تَتَّقُوۡنَ,اِن سے پُوچھو، کون تم کو آسمان اور زمین سے رزق دیتا ہے؟ یہ سماعت اور بینائی کی قوتیں کس کے اختیار میں ہیں؟ کون بے جان میں سے جاندار کو اور جاندار میں سے بے جان کو نکالتا ہے؟ کون اِس نظم عالم کی تدبیر کر رہا ہے؟ وہ ضرور کہیں گے کہ اللہ کہو، پھر تم (حقیقت کے خلاف چلنے سے) پرہیز نہیں کرتے؟,"Say, ""Who provides \[sustenance\] for you from heaven and earth? Who is it who controls the ears and the eyes? Who brings forth the living from the dead, and the dead from the living? And who governs all affairs?"" They will say, ""God"". Then say, ""Will you not then fear Him?"
فَذٰلِكُمُ اللّٰهُ رَبُّكُمُ الۡحَـقُّ ​ ۚ فَمَاذَا بَعۡدَ الۡحَـقِّ اِلَّا الضَّلٰلُ​​ ۚ فَاَنّٰى تُصۡرَفُوۡنَ,تب تو یہی اللہ تمہارا حقیقی رب ہے پھر حق کے بعد گمراہی کے سوا اور کیا باقی رہ گیا؟ آخر یہ تم کدھر پھرائے جا رہے ہو؟,"That is God, your true Lord. What is there, besides the truth, but error? How then can you turn away?"""
كَذٰلِكَ حَقَّتۡ كَلِمَتُ رَبِّكَ عَلَى الَّذِيۡنَ فَسَقُوۡۤا اَنَّهُمۡ لَا يُؤۡمِنُوۡنَ,(اے نبیؐ، دیکھو) اس طرح نافرمانی اختیار کرنے والوں پر تمہارے رب کی بات صادق آ گئی کہ وہ مان کر نہ دیں گے,Thus the Word of your Lord is proved true against those who are disobedient. They will not believe.
قُلۡ هَلۡ مِنۡ شُرَكَآٮِٕكُمۡ مَّنۡ يَّبۡدَؤُا الۡخَـلۡقَ ثُمَّ يُعِيۡدُهٗ​ ؕ قُلِ اللّٰهُ يَـبۡدَؤُا الۡخَـلۡقَ ثُمَّ يُعِيۡدُهٗ​ؕ فَاَنّٰى تُؤۡفَكُوۡنَ,اِن سے پُوچھو، تمہارے ٹھیرائے ہوئے شریکوں میں کوئی ہے جو تخلیق کی ابتدا بھی کرتا ہو اور پھر اس کا اعادہ بھی کرے؟ کہو وہ صرف اللہ ہے جو تخلیق کی ابتدا بھی کرتا ہے اور اس کا اعادہ بھی، پھر تم یہ کس اُلٹی راہ پر چلائے جا رہے ہو؟,"Ask then, ""Can any of your partner-gods originate creation, and then reproduce it?"" Say, ""It is God who originates creation and then restores it: how then are you so misled?"""
قُلۡ هَلۡ مِنۡ شُرَكَآٮِٕكُمۡ مَّنۡ يَّهۡدِىۡۤ اِلَى الۡحَـقِّ​ؕ قُلِ اللّٰهُ يَهۡدِىۡ لِلۡحَقِّ​ؕ اَفَمَنۡ يَّهۡدِىۡۤ اِلَى الۡحَقِّ اَحَقُّ اَنۡ يُّتَّبَعَ اَمَّنۡ لَّا يَهِدِّىۡۤ اِلَّاۤ اَنۡ يُّهۡدٰى​ۚ فَمَا لَكُمۡ كَيۡفَ تَحۡكُمُوۡنَ ﻿﻿,اِن سے پُوچھو تمہارے ٹھیرائے ہوئے شریکوں میں کوئی ایسا بھی ہے جو حق کی طرف رہنمائی کرتا ہو؟ کہو وہ صرف اللہ ہے جو حق کی طرف رہنمائی کرتا ہے پھر بھلا بتاؤ، جو حق کی طرف رہنمائی کرتا ہے وہ اِس کا زیادہ مستحق ہے کہ اس کی پیروی کی جائے یا وہ جو خود راہ نہیں پاتا اِلّا یہ کہ اس کی رہنمائی کی جائے؟ آخر تمہیں ہو کیا گیا ہے، کیسے اُلٹے الٹے فیصلے کرتے ہو؟,"Say, ""Does any of your partner-gods guide one to the Truth?"" Say, ""It is God who guides to the truth. Then, is He who guides to the truth more worthy to be followed or one who cannot find the way himself unless he be guided? What is the matter with you? How ill you judge!"""
وَمَا يَتَّبِعُ اَكۡثَرُهُمۡ اِلَّا ظَنًّا ؕاِنَّ الظَّنَّ لَا يُغۡنِىۡ مِنَ الۡحَـقِّ شَيۡــًٔا​ ؕ اِنَّ اللّٰهَ عَلِيۡمٌۢ بِمَا يَفۡعَلُوۡنَ,حقیقت یہ ہے کہ اِن میں سے اکثر لوگ محض قیاس و گمان کے پیچھے چلے جا رہے ہیں، حالاں کہ گمان حق کی ضرورت کو کچھ بھی پُورا نہیں کرتا جو کچھ یہ کر رہے ہیں اللہ اُس کو خوب جانتا ہے,Most of them follow nothing but mere conjecture. But conjecture is of no use against the Truth. God is well aware of what they do.
وَمَا كَانَ هٰذَا الۡقُرۡاٰنُ اَنۡ يُّفۡتَـرٰى مِنۡ دُوۡنِ اللّٰهِ وَلٰـكِنۡ تَصۡدِيۡقَ الَّذِىۡ بَيۡنَ يَدَيۡهِ وَتَفۡصِيۡلَ الۡكِتٰبِ لَا رَيۡبَ فِيۡهِ مِنۡ رَّبِّ الۡعٰلَمِيۡنَ,اور یہ قرآن وہ چیز نہیں ہے جو اللہ کی وحی و تعلیم کے بغیر تصنیف کر لیا جائے بلکہ یہ تو جو کچھ پہلے آ چکا تھا اس کی تصدیق اور الکتاب کی تفصیل ہے اِس میں کوئی شک نہیں کہ یہ فرمانروائے کائنات کی طرف سے ہے,This Quran is not such as could have been produced by anyone but God. It fulfills that \[the predictions\] which came before it and gives a fuller explanation of the \[earlier\] Revelations. There is no doubt about it: it is from the Lord of the Universe.
